,area_type,availability,location,size,total_sqft,bath,balcony,price,price_per_sqft,price_per_sqft_x_1000
3382,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1801.0,3.0,2.0,140.0,0.07773459189339256,77.73459189339256
3384,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1199.0,2.0,2.0,65.0,0.05421184320266889,54.21184320266889
3385,Super built-up  Area,Ready To Move,Iblur Village,3 BHK,2300.0,3.0,1.0,220.0,0.09565217391304348,95.65217391304348
3387,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,3800.0,4.0,3.0,205.0,0.05394736842105263,53.94736842105263
3389,Super built-up  Area,Ready To Move,Wilson Garden,2 BHK,1125.0,2.0,1.0,75.0,0.06666666666666667,66.66666666666667
3391,Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1050.0,2.0,3.0,41.0,0.039047619047619046,39.047619047619044
3392,Built-up  Area,Ready To Move,Nagarbhavi,2 BHK,956.0,2.0,1.0,49.0,0.051255230125523014,51.25523012552301
3393,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1000.0,2.0,2.0,30.0,0.03,30.0
3394,Built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,1596.0,3.0,0.0,95.0,0.05952380952380952,59.52380952380952
3398,Built-up  Area,Ready To Move,Challaghatta,3 BHK,1639.0,3.0,3.0,123.0,0.075045759609518,75.045759609518
3399,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1219.0,2.0,1.0,61.25,0.050246103363412634,50.24610336341264
3403,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2559.0,3.0,2.0,141.0,0.05509964830011723,55.09964830011723
3407,Built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,920.0,2.0,3.0,65.0,0.07065217391304347,70.65217391304347
3411,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1530.0,2.0,2.0,90.0,0.058823529411764705,58.8235294117647
3413,Super built-up  Area,Ready To Move,Nehru Nagar,4 BHK,2363.0,5.0,2.0,120.0,0.05078290308929327,50.78290308929327
3414,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,3895.0,4.0,3.0,220.0,0.05648267008985879,56.48267008985879
3416,Built-up  Area,Ready To Move,Hoysalanagar,2 BHK,885.0,2.0,3.0,40.0,0.04519774011299435,45.19774011299435
3420,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339.0,2.0,2.0,62.0,0.04630321135175504,46.30321135175504
3421,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1130.0,2.0,1.0,36.0,0.03185840707964602,31.858407079646017
3423,Built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1430.0,3.0,2.0,72.0,0.05034965034965035,50.349650349650354
3429,Built-up  Area,Ready To Move,KR Garden,2 BHK,925.0,2.0,2.0,63.0,0.0681081081081081,68.10810810810811
3430,Super built-up  Area,Ready To Move,Bellandur,4 BHK,3016.0,4.0,3.0,230.0,0.07625994694960213,76.25994694960212
3432,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1215.0,2.0,2.0,39.0,0.03209876543209877,32.098765432098766
3434,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1336.0,2.0,2.0,100.0,0.0748502994011976,74.8502994011976
3435,Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,673.0,1.0,1.0,36.85,0.05475482912332838,54.75482912332838
3444,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1470.0,2.0,2.0,61.74,0.042,42.0
3446,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1785.0,3.0,2.0,94.0,0.05266106442577031,52.661064425770306
3453,Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,650.0,1.0,1.0,20.0,0.03076923076923077,30.76923076923077
3455,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1220.0,2.0,1.0,43.92,0.036000000000000004,36.00000000000001
3456,Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,1570.0,3.0,1.0,115.0,0.0732484076433121,73.2484076433121
3458,Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665.0,3.0,2.0,86.91,0.052198198198198195,52.19819819819819
3460,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,4000.0,5.0,2.0,600.0,0.15,150.0
3462,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1350.0,2.0,1.0,87.01,0.06445185185185186,64.45185185185186
3463,Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1719.0,3.0,2.0,116.0,0.06748109365910412,67.48109365910412
3464,Super built-up  Area,Ready To Move,Budigere,1 BHK,664.0,1.0,1.0,35.0,0.05271084337349398,52.71084337349398
3470,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1520.0,2.0,2.0,150.0,0.09868421052631579,98.6842105263158
3471,Carpet  Area,Ready To Move,Uttarahalli,3 BHK,1350.0,2.0,2.0,53.0,0.03925925925925926,39.25925925925926
3473,Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,875.0,2.0,1.0,33.0,0.037714285714285714,37.714285714285715
3474,Super built-up  Area,Ready To Move,Hennur,2 BHK,1231.0,2.0,2.0,48.0,0.03899268887083672,38.99268887083672
3475,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1174.0,2.0,3.0,74.0,0.06303236797274275,63.032367972742755
3476,Built-up  Area,Ready To Move,Munnekollal,3 BHK,1560.0,3.0,3.0,75.0,0.04807692307692308,48.07692307692308
3480,Built-up  Area,Ready To Move,Sahyadri Layout,3 BHK,1750.0,3.0,1.0,180.0,0.10285714285714286,102.85714285714286
3484,Super built-up  Area,Ready To Move,Kodihalli,3 BHK,2408.0,4.0,2.0,260.0,0.1079734219269103,107.9734219269103
3485,Super built-up  Area,Ready To Move,Devanahalli,2 BHK,1080.0,2.0,1.0,44.0,0.040740740740740744,40.74074074074075
3488,Super built-up  Area,Ready To Move,Begur Road,3 BHK,1500.0,2.0,3.0,55.0,0.03666666666666667,36.666666666666664
3492,Super built-up  Area,Ready To Move,Channasandra,2 BHK,1030.0,2.0,1.0,34.5,0.03349514563106796,33.495145631067956
3494,Built-up  Area,Ready To Move,Hoodi,2 BHK,1500.0,2.0,1.0,84.0,0.056,56.0
3496,Built-up  Area,Ready To Move,Bagalur,2 BHK,1200.0,2.0,3.0,50.0,0.041666666666666664,41.666666666666664
3498,Super built-up  Area,Ready To Move,Harlur,3 BHK,2240.0,5.0,2.0,155.0,0.06919642857142858,69.19642857142857
3499,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1584.01,3.0,1.0,103.0,0.06502484201488627,65.02484201488627
3500,Super built-up  Area,Ready To Move,P Krishnappa Layout,3 BHK,1340.0,3.0,3.0,77.0,0.057462686567164176,57.46268656716418
3501,Super built-up  Area,Ready To Move,Green Garden Layout,3 BHK,1800.0,3.0,2.0,70.0,0.03888888888888889,38.88888888888889
3504,Super built-up  Area,Ready To Move,Kalkere,2 BHK,925.0,2.0,3.0,42.0,0.04540540540540541,45.4054054054054
3505,Super built-up  Area,Ready To Move,Crimson Layout,2 BHK,1230.0,2.0,2.0,57.0,0.046341463414634146,46.34146341463415
3507,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,1125.0,2.0,1.0,52.0,0.04622222222222222,46.22222222222222
3512,Super built-up  Area,Ready To Move,Jakkur,3 BHK,1858.0,3.0,1.0,98.3,0.052906350914962326,52.906350914962324
3514,Built-up  Area,Ready To Move,Ambedkar Nagar,4 BHK,3530.0,4.0,2.0,290.0,0.0821529745042493,82.1529745042493
3519,Built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1335.0,3.0,2.0,89.0,0.06666666666666667,66.66666666666667
3522,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1397.0,3.0,2.0,110.0,0.07874015748031496,78.74015748031496
3525,Plot  Area,Ready To Move,Yelahanka New Town,2 Bedroom,1200.0,2.0,1.0,130.0,0.10833333333333334,108.33333333333334
3529,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,2.0,38.55,0.03381578947368421,33.815789473684205
3535,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1700.0,3.0,2.0,75.0,0.04411764705882353,44.11764705882353
3542,Super built-up  Area,Ready To Move,Green Glen Layout,2 BHK,1050.0,2.0,2.0,48.0,0.045714285714285714,45.714285714285715
3543,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1495.0,2.0,2.0,79.5,0.053177257525083614,53.17725752508361
3547,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1400.0,2.0,1.0,48.0,0.03428571428571429,34.285714285714285
3549,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,944.0,2.0,1.0,35.0,0.037076271186440676,37.07627118644068
3553,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1743.0,3.0,2.0,93.25,0.05349971313826735,53.49971313826735
3554,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1274.0,2.0,2.0,48.42,0.03800627943485087,38.00627943485087
3556,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1512.0,2.0,2.0,110.0,0.07275132275132275,72.75132275132275
3559,Built-up  Area,Ready To Move,Doddathoguru,3 BHK,1875.0,3.0,1.0,55.0,0.029333333333333333,29.333333333333332
3565,Super built-up  Area,Ready To Move,Anandapura,2 BHK,1151.0,2.0,1.0,43.1,0.03744569939183319,37.44569939183319
3566,Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,832.0,3.0,1.0,77.0,0.09254807692307693,92.54807692307693
3567,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,915.0,2.0,1.0,38.0,0.041530054644808745,41.53005464480874
3570,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072.0,4.0,2.0,139.0,0.06708494208494209,67.08494208494209
3571,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1200.0,2.0,2.0,53.0,0.04416666666666667,44.166666666666664
3572,Super built-up  Area,Ready To Move,Singasandra,2 BHK,1300.0,2.0,2.0,65.0,0.05,50.0
3573,Super built-up  Area,Ready To Move,Bellandur,2 BHK,1457.0,2.0,2.0,85.0,0.05833905284831846,58.33905284831846
3574,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,1262.0,2.0,2.0,55.0,0.043581616481774964,43.581616481774965
3577,Built-up  Area,Ready To Move,Attibele,1 BHK,420.0,1.0,1.0,17.0,0.04047619047619048,40.47619047619048
3582,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1127.0,2.0,1.0,68.0,0.06033717834960071,60.337178349600705
3591,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1689.28,3.0,2.0,91.2,0.0539874976321273,53.987497632127294
3597,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1310.0,2.0,1.0,85.0,0.0648854961832061,64.8854961832061
3603,Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1157.0,2.0,1.0,42.0,0.036300777873811585,36.30077787381158
3604,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1241.0,2.0,1.0,82.0,0.06607574536663981,66.07574536663981
3606,Built-up  Area,Ready To Move,Marathahalli,4 BHK,4000.0,4.0,3.0,220.0,0.055,55.0
3607,Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,2340.0,4.0,1.0,148.0,0.06324786324786325,63.24786324786324
3608,Built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,596.0,1.0,1.0,42.0,0.07046979865771812,70.46979865771812
3610,Plot  Area,Ready To Move,Kyalasanahalli,4 Bedroom,1200.0,4.0,3.0,110.0,0.09166666666666666,91.66666666666666
3611,Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,1910.0,3.0,1.0,190.0,0.09947643979057591,99.47643979057591
3612,Super built-up  Area,Ready To Move,Brookefield,2 BHK,1139.0,2.0,2.0,80.0,0.07023705004389816,70.23705004389817
3613,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122.0,5.0,2.0,225.0,0.0720691864189622,72.0691864189622
3615,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1168.0,2.0,2.0,64.08,0.054863013698630135,54.863013698630134
3618,Built-up  Area,Ready To Move,B Narayanapura,3 BHK,1405.0,2.0,2.0,70.0,0.0498220640569395,49.8220640569395
3620,Built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,1750.0,3.0,3.0,149.0,0.08514285714285715,85.14285714285714
3621,Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,1360.0,2.0,1.0,65.0,0.04779411764705882,47.79411764705882
3625,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3.0,2.0,150.0,0.08108108108108109,81.08108108108108
3626,Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,1490.0,2.0,3.0,88.0,0.05906040268456376,59.060402684563755
3627,Super built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,620.0,1.0,1.0,25.0,0.04032258064516129,40.32258064516129
3629,Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,1080.0,2.0,2.0,55.0,0.05092592592592592,50.925925925925924
3631,Super built-up  Area,Ready To Move,Begur Road,3 BHK,1410.0,2.0,3.0,52.17,0.037,37.0
3633,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1290.0,2.0,1.0,94.5,0.07325581395348837,73.25581395348837
3635,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1128.0,2.0,1.0,68.0,0.06028368794326241,60.28368794326241
3636,Plot  Area,Ready To Move,Meenakunte,4 Bedroom,4428.0,4.0,2.0,255.0,0.05758807588075881,57.58807588075881
3639,Plot  Area,Ready To Move,Kannamangala,4 Bedroom,2400.0,4.0,1.0,130.0,0.05416666666666667,54.16666666666667
3640,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327.0,2.0,3.0,85.0,0.0640542577241899,64.05425772418991
3641,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,2912.0,6.0,2.0,210.0,0.07211538461538461,72.11538461538461
3642,Super built-up  Area,Ready To Move,Basapura,2 BHK,1301.0,2.0,2.0,55.0,0.042275172943889314,42.27517294388932
3653,Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,2145.0,4.0,1.0,270.0,0.1258741258741259,125.87412587412588
3654,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,2475.0,4.0,3.0,300.0,0.12121212121212122,121.21212121212122
3659,Super built-up  Area,Ready To Move,Begur Road,3 BHK,1615.0,3.0,2.0,58.0,0.03591331269349845,35.91331269349845
3660,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1400.0,2.0,2.0,68.0,0.04857142857142857,48.57142857142857
3661,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1070.0,2.0,2.0,47.5,0.04439252336448598,44.39252336448598
3666,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1 BHK,794.0,1.0,2.0,65.0,0.0818639798488665,81.86397984886649
3667,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1090.0,2.0,2.0,43.59,0.0399908256880734,39.9908256880734
3668,Super built-up  Area,Ready To Move,Gottigere,3 BHK,1500.0,3.0,2.0,70.0,0.04666666666666667,46.66666666666667
3669,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2059.0,3.0,2.0,225.0,0.10927634774162215,109.27634774162215
3674,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1070.0,2.0,2.0,37.45,0.035,35.0
3677,Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1185.0,2.0,1.0,45.5,0.03839662447257384,38.39662447257384
3684,Super built-up  Area,Ready To Move,Ckikkakammana Halli,2 BHK,902.0,2.0,2.0,42.0,0.04656319290465632,46.56319290465632
3688,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,984.0,2.0,1.0,51.0,0.051829268292682924,51.829268292682926
3691,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1300.0,2.0,2.0,79.0,0.06076923076923077,60.76923076923077
3694,Super built-up  Area,Ready To Move,Munivenkatppa Layout,2 BHK,1550.0,2.0,3.0,160.0,0.1032258064516129,103.2258064516129
3698,Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,1845.0,3.0,3.0,91.0,0.04932249322493225,49.322493224932245
3699,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1676.0,3.0,3.0,52.0,0.031026252983293555,31.026252983293556
3701,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1360.0,2.0,1.0,70.5,0.05183823529411765,51.83823529411765
3702,Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,1374.0,2.0,2.0,70.0,0.050946142649199416,50.946142649199416
3709,Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1790.0,3.0,3.0,100.0,0.055865921787709494,55.865921787709496
3712,Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1033.0,2.0,2.0,48.0,0.046466602129719266,46.46660212971926
3715,Super built-up  Area,Ready To Move,Kumarapalli,2 BHK,1240.0,2.0,2.0,52.6,0.04241935483870968,42.41935483870968
3717,Super built-up  Area,Ready To Move,Kambipura,2 BHK,883.0,2.0,1.0,39.0,0.044167610419026046,44.16761041902605
3719,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1730.0,3.0,3.0,139.0,0.08034682080924856,80.34682080924856
3721,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1545.0,3.0,2.0,79.0,0.0511326860841424,51.1326860841424
3726,Plot  Area,Ready To Move,Marsur,3 Bedroom,1200.0,3.0,1.0,120.0,0.1,100.0
3729,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1682.0,3.0,1.0,120.0,0.0713436385255648,71.3436385255648
3730,Built-up  Area,Ready To Move,Yelahanka,3 BHK,1371.0,2.0,2.0,65.0,0.04741064916119621,47.41064916119621
3733,Super built-up  Area,Ready To Move,Ambalipura,3 BHK,1730.0,3.0,1.0,120.0,0.06936416184971098,69.36416184971098
3735,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1500.0,3.0,3.0,102.0,0.068,68.0
3738,Carpet  Area,Ready To Move,Lingarajapuram,2 BHK,1203.0,2.0,1.0,59.86,0.049758935993349955,49.75893599334996
3740,Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,1600.0,3.0,2.0,76.0,0.0475,47.5
3741,Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,350.0,1.0,1.0,13.5,0.03857142857142857,38.57142857142857
3742,Super built-up  Area,Ready To Move,Varthur,3 BHK,1665.0,3.0,1.0,53.0,0.03183183183183183,31.83183183183183
3746,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1444.0,2.0,1.0,80.0,0.055401662049861494,55.40166204986149
3748,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,94.71,0.06226824457593688,62.26824457593688
3751,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,2760.0,5.0,2.0,157.0,0.05688405797101449,56.88405797101449
3752,Built-up  Area,Ready To Move,Marathahalli,2 BHK,1325.0,1.0,1.0,92.0,0.06943396226415094,69.43396226415094
3756,Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,650.0,1.0,1.0,23.0,0.03538461538461538,35.38461538461538
3759,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,769.0,2.0,1.0,40.0,0.05201560468140442,52.01560468140442
3760,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1571.0,3.0,2.0,105.0,0.0668364099299809,66.8364099299809
3761,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1445.0,3.0,1.0,86.56,0.059903114186851215,59.90311418685121
3762,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,1590.0,2.0,2.0,135.0,0.08490566037735849,84.90566037735849
3763,Super built-up  Area,Ready To Move,Bommasandra,2 BHK,902.0,2.0,2.0,49.0,0.05432372505543237,54.32372505543237
3766,Built-up  Area,Ready To Move,Yelahanka,3 BHK,1712.0,3.0,3.0,82.0,0.04789719626168224,47.89719626168224
3770,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1920.0,3.0,2.0,150.0,0.078125,78.125
3773,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1089.0,2.0,2.0,45.0,0.04132231404958678,41.32231404958678
3774,Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1106.0,2.0,1.0,43.09,0.03896021699819169,38.96021699819169
3776,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339.0,2.0,2.0,58.0,0.043315907393577296,43.3159073935773
3779,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1175.0,2.0,2.0,75.0,0.06382978723404255,63.82978723404255
3780,Built-up  Area,Ready To Move,Thubarahalli,2 BHK,975.0,2.0,1.0,55.0,0.05641025641025641,56.41025641025641
3781,Super built-up  Area,Ready To Move,Hebbal,3 BHK,2400.0,4.0,1.0,180.0,0.075,75.0
3782,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1330.0,3.0,2.0,72.0,0.05413533834586466,54.13533834586466
3788,Built-up  Area,Ready To Move,Pai Layout,2 BHK,1100.0,2.0,2.0,50.0,0.045454545454545456,45.45454545454545
3791,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,3.0,51.77,0.033836601307189546,33.83660130718955
3796,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,2.0,120.0,0.07142857142857142,71.42857142857143
3799,Super built-up  Area,Ready To Move,Iblur Village,3 BHK,1918.0,3.0,2.0,129.0,0.06725755995828989,67.25755995828989
3801,Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1560.0,3.0,3.0,66.0,0.04230769230769231,42.30769230769231
3802,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1145.0,2.0,2.0,49.5,0.04323144104803493,43.23144104803493
3803,Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,2106.0,3.0,2.0,126.0,0.05982905982905983,59.82905982905983
3806,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,1718.0,3.0,2.0,288.0,0.16763678696158324,167.63678696158323
3811,Built-up  Area,Ready To Move,Kalyan nagar,4 BHK,3800.0,5.0,3.0,300.0,0.07894736842105263,78.94736842105263
3812,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1344.0,2.0,1.0,42.0,0.03125,31.25
3816,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1190.0,2.0,1.0,75.0,0.06302521008403361,63.02521008403361
3817,Built-up  Area,Ready To Move,Whitefield,2 BHK,1000.0,2.0,1.0,35.0,0.035,35.0
3818,Plot  Area,Ready To Move,Kalhalli,2 Bedroom,2400.0,2.0,1.0,160.0,0.06666666666666667,66.66666666666667
3819,Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,1000.0,2.0,1.0,48.5,0.0485,48.5
3820,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,2113.0,3.0,2.0,155.0,0.07335541883577851,73.35541883577851
3823,Super built-up  Area,Ready To Move,Harlur,4 BHK,1884.0,4.0,2.0,120.0,0.06369426751592357,63.69426751592356
3824,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1110.0,2.0,1.0,40.0,0.036036036036036036,36.03603603603604
3825,Super built-up  Area,Ready To Move,Kudlu,2 BHK,1027.0,2.0,2.0,43.0,0.04186952288218111,41.869522882181116
3829,Plot  Area,Ready To Move,Hadosiddapura,3 Bedroom,1200.0,3.0,2.0,165.0,0.1375,137.5
3832,Super built-up  Area,Ready To Move,Bellandur,2 BHK,1195.0,2.0,2.0,51.0,0.042677824267782424,42.67782426778243
3833,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,1302.0,2.0,1.0,69.1,0.05307219662058371,53.07219662058371
3835,Super built-up  Area,Ready To Move,Kumarapalli,3 BHK,1488.0,2.0,3.0,60.0,0.04032258064516129,40.32258064516129
3840,Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,1150.0,2.0,1.0,90.0,0.0782608695652174,78.26086956521739
3848,Super built-up  Area,Ready To Move,Kachanayakanahalli,2 BHK,861.0,2.0,1.0,35.0,0.04065040650406504,40.65040650406504
3849,Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1600.0,3.0,2.0,95.0,0.059375,59.375
3851,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1390.0,2.0,2.0,80.0,0.05755395683453238,57.55395683453238
3856,Super built-up  Area,Ready To Move,Gunjur,2 BHK,1195.0,2.0,2.0,44.0,0.03682008368200837,36.82008368200837
3858,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,1159.0,2.0,1.0,60.0,0.05176876617773943,51.76876617773943
3860,Super built-up  Area,Ready To Move,Harlur,2 BHK,1197.0,2.0,1.0,79.0,0.06599832915622389,65.99832915622389
3866,Built-up  Area,Ready To Move,6th block Koramangala,3 BHK,2350.0,3.0,2.0,400.0,0.1702127659574468,170.2127659574468
3871,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1937.0,3.0,2.0,140.0,0.07227671657201859,72.27671657201859
3872,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1015.0,2.0,2.0,33.5,0.03300492610837438,33.004926108374384
3874,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1350.0,2.0,2.0,80.99,0.05999259259259259,59.992592592592594
3879,Plot  Area,Ready To Move,Tindlu,3 Bedroom,1500.0,3.0,1.0,87.0,0.058,58.0
3880,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1566.0,3.0,2.0,97.0,0.06194125159642401,61.94125159642401
3883,Super built-up  Area,Ready To Move,KR Puram,2 BHK,1290.0,2.0,1.0,49.02,0.038,38.0
3885,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1839.0,3.0,3.0,165.0,0.08972267536704731,89.72267536704732
3888,Super built-up  Area,Ready To Move,Electronic City,2 BHK,550.0,1.0,1.0,15.0,0.02727272727272727,27.27272727272727
3889,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140.0,2.0,2.0,39.0,0.034210526315789476,34.21052631578947
3892,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1100.0,2.0,1.0,46.0,0.04181818181818182,41.81818181818182
3893,Built-up  Area,Ready To Move,Vignana Nagar,2 BHK,1200.0,2.0,2.0,55.0,0.04583333333333333,45.83333333333333
3896,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1315.0,2.0,2.0,74.0,0.05627376425855513,56.27376425855513
3897,Super built-up  Area,Ready To Move,Anandapura,2 BHK,1141.0,2.0,1.0,42.75,0.037467134092900964,37.46713409290096
3898,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1080.0,2.0,2.0,55.0,0.05092592592592592,50.925925925925924
3899,Super built-up  Area,Ready To Move,HBR Layout,2 BHK,1200.0,2.0,2.0,60.0,0.05,50.0
3900,Super built-up  Area,Ready To Move,Varthur,2 BHK,1111.0,2.0,2.0,41.88,0.0376957695769577,37.6957695769577
3902,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1275.0,2.0,2.0,65.0,0.050980392156862744,50.98039215686274
3905,Super built-up  Area,Ready To Move,Battarahalli,2 BHK,1135.0,2.0,3.0,43.0,0.03788546255506608,37.88546255506608
3907,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535.0,3.0,2.0,86.0,0.056026058631921824,56.02605863192182
3909,Super built-up  Area,Ready To Move,Bellandur,2 BHK,1050.0,2.0,2.0,72.0,0.06857142857142857,68.57142857142857
3911,Super built-up  Area,Ready To Move,Gottigere,3 BHK,1621.0,3.0,3.0,72.0,0.04441702652683529,44.417026526835286
